Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.9563,0.9578,0.7895,0.9375,0.8571,0.8316,0.8359
0.9432,0.9835,0.7949,0.8611,0.8267,0.7928,0.7937
0.9474,0.9619,0.7895,0.8824,0.8333,0.8022,0.8039
0.9561,0.9573,0.8158,0.9118,0.8611,0.8352,0.837
0.943,0.973,0.8421,0.8205,0.8312,0.7969,0.797
0.9492,0.9667,0.8063,0.8826,0.8419,0.8117,0.8135
0.0059,0.0101,0.0203,0.0405,0.0143,0.018,0.019
