Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.995,0.9899,0.8947,1.0,0.9444,0.9418,0.9434
0.9837,0.9771,0.7368,0.9032,0.8116,0.8032,0.8077
0.985,0.977,0.7632,0.9062,0.8286,0.8208,0.8241
0.9862,0.9617,0.8158,0.8857,0.8493,0.8421,0.8429
0.9812,0.9716,0.7105,0.871,0.7826,0.7729,0.7773
0.9862,0.9755,0.7842,0.9132,0.8433,0.8362,0.8391
0.0047,0.0092,0.0653,0.0452,0.0551,0.0575,0.0564
