Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.9912,0.9951,0.9211,0.8974,0.9091,0.9045,0.9046
0.9837,0.988,0.8158,0.8378,0.8267,0.8181,0.8182
0.98,0.9409,0.7632,0.8056,0.7838,0.7733,0.7736
0.9812,0.9735,0.8684,0.7674,0.8148,0.805,0.8067
0.9787,0.9424,0.7368,0.8,0.7671,0.756,0.7567
0.983,0.968,0.8211,0.8217,0.8203,0.8114,0.812
0.0045,0.0226,0.0674,0.044,0.0492,0.0515,0.0513
