Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.985,0.9686,0.7895,0.8884,0.8305,0.8228,0.8272,GradientBoostingClassifier,Mean
0.0066,0.0263,0.1129,0.0797,0.0783,0.0816,0.0784,GradientBoostingClassifier,Std
0.9842,0.9787,0.7842,0.876,0.8245,0.8164,0.8194,LGBMClassifier,Mean
0.0063,0.0195,0.0895,0.0823,0.0723,0.0755,0.0746,LGBMClassifier,Std
0.9815,0.9734,0.8842,0.7722,0.8208,0.8112,0.8152,SGDClassifier,Mean
0.0057,0.0235,0.0657,0.081,0.0505,0.0534,0.0529,SGDClassifier,Std
0.983,0.9584,0.8421,0.8185,0.8259,0.817,0.8194,LogisticRegression,Mean
0.0074,0.0269,0.0849,0.0972,0.0718,0.0755,0.0746,LogisticRegression,Std
0.9812,0.9863,0.7211,0.87,0.7826,0.7729,0.7798,RandomForestClassifier,Mean
0.0053,0.0079,0.1,0.074,0.0657,0.0682,0.0638,RandomForestClassifier,Std
0.9825,0.9746,0.7895,0.839,0.81,0.8009,0.8032,ExtraTreesClassifier,Mean
0.0045,0.0159,0.0744,0.066,0.0494,0.0517,0.0503,ExtraTreesClassifier,Std
0.9782,0.9555,0.8684,0.7424,0.7953,0.784,0.7895,RidgeClassifier,Mean
0.0096,0.031,0.0754,0.1157,0.0792,0.084,0.0817,RidgeClassifier,Std
