Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9718,0.973,0.8105,0.8747,0.8362,0.821,0.8246,GradientBoostingClassifier,Mean
0.0106,0.0206,0.1084,0.0621,0.0697,0.075,0.0709,GradientBoostingClassifier,Std
0.9732,0.9798,0.8053,0.8917,0.8425,0.828,0.8315,LGBMClassifier,Mean
0.0091,0.0136,0.1,0.0473,0.0617,0.0664,0.0635,LGBMClassifier,Std
0.9713,0.9684,0.8263,0.8599,0.8394,0.8237,0.8259,SGDClassifier,Mean
0.0111,0.0226,0.0817,0.0827,0.0623,0.0683,0.0684,SGDClassifier,Std
0.9718,0.9788,0.8368,0.8557,0.8429,0.8275,0.8295,LogisticRegression,Mean
0.0104,0.021,0.0831,0.0734,0.0586,0.0642,0.0641,LogisticRegression,Std
0.9646,0.9678,0.7737,0.8408,0.797,0.7779,0.7837,RandomForestClassifier,Mean
0.0065,0.0217,0.1,0.0847,0.0408,0.0438,0.0423,RandomForestClassifier,Std
0.9713,0.9727,0.8053,0.8724,0.8338,0.8182,0.8212,ExtraTreesClassifier,Mean
0.0091,0.0234,0.0972,0.0535,0.0575,0.0623,0.0614,ExtraTreesClassifier,Std
0.9226,0.9417,0.8421,0.5571,0.6667,0.6255,0.6449,RidgeClassifier,Mean
0.0217,0.029,0.0999,0.0851,0.0789,0.0894,0.0869,RidgeClassifier,Std
