Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.9563,0.9596,0.8158,0.9118,0.8611,0.8353,0.8371
0.9432,0.9808,0.8205,0.8421,0.8312,0.7971,0.7972
0.9561,0.9647,0.8421,0.8889,0.8649,0.8387,0.8391
0.9561,0.9547,0.8158,0.9118,0.8611,0.8352,0.837
0.9561,0.9709,0.8947,0.85,0.8718,0.8454,0.8458
0.9536,0.9662,0.8378,0.8809,0.858,0.8303,0.8312
0.0052,0.0091,0.0301,0.0298,0.014,0.017,0.0173
