Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.9476,0.9552,0.8421,0.8421,0.8421,0.8107,0.8107
0.9476,0.968,0.8205,0.8649,0.8421,0.8107,0.8111
0.9474,0.9614,0.8684,0.825,0.8462,0.8144,0.8148
0.9298,0.9321,0.7895,0.7895,0.7895,0.7474,0.7474
0.9167,0.9501,0.7368,0.7568,0.7467,0.6968,0.6969
0.9378,0.9534,0.8115,0.8156,0.8133,0.776,0.7762
0.0126,0.0122,0.0454,0.0384,0.0394,0.0469,0.0469
