Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.9607,0.9614,0.8158,0.9394,0.8732,0.8501,0.8531
0.9432,0.9861,0.7949,0.8611,0.8267,0.7928,0.7937
0.9518,0.9645,0.8158,0.8857,0.8493,0.8207,0.8216
0.9605,0.955,0.8158,0.9394,0.8732,0.85,0.853
0.943,0.9715,0.8421,0.8205,0.8312,0.7969,0.797
0.9518,0.9677,0.8169,0.8892,0.8507,0.8221,0.8237
0.0078,0.0106,0.015,0.046,0.0199,0.0247,0.0258
