Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.7632,0.8892,0.5789,0.9167,0.7097,0.5263,0.5661,RandomForestClassifier,0
0.8684,0.9668,0.7895,0.9375,0.8571,0.7368,0.7462,RandomForestClassifier,1
0.8684,0.9252,0.8421,0.8889,0.8649,0.7368,0.7379,RandomForestClassifier,2
0.8947,0.9169,0.7895,1.0,0.8824,0.7895,0.8076,RandomForestClassifier,3
0.8947,0.9446,0.8421,0.9412,0.8889,0.7895,0.7939,RandomForestClassifier,4
0.9211,0.9834,0.8947,0.9444,0.9189,0.8421,0.8433,RandomForestClassifier,5
0.8421,0.9307,0.9474,0.7826,0.8571,0.6842,0.6999,RandomForestClassifier,6
0.7368,0.9114,0.7895,0.7143,0.75,0.4737,0.4763,RandomForestClassifier,7
0.8421,0.9418,0.6842,1.0,0.8125,0.6842,0.7211,RandomForestClassifier,8
0.8684,0.9141,0.8421,0.8889,0.8649,0.7368,0.7379,RandomForestClassifier,9
0.85,0.9324,0.8,0.9014,0.8406,0.7,0.713,RandomForestClassifier,Mean
0.0553,0.0264,0.0993,0.0859,0.0617,0.1105,0.1061,RandomForestClassifier,Std
