Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.8368,0.9183,0.8421,0.8408,0.839,0.6737,0.6777,LogisticRegression,Mean
0.0632,0.0368,0.0577,0.0878,0.0578,0.1263,0.1275,LogisticRegression,Std
0.85,0.9324,0.8,0.9014,0.8406,0.7,0.713,RandomForestClassifier,Mean
0.0553,0.0264,0.0993,0.0859,0.0617,0.1105,0.1061,RandomForestClassifier,Std
0.8579,0.9253,0.8579,0.8595,0.8574,0.7158,0.7181,GradientBoostingClassifier,Mean
0.0488,0.0343,0.0668,0.0539,0.0503,0.0976,0.0983,GradientBoostingClassifier,Std
0.8526,0.9097,0.8421,0.8672,0.8512,0.7053,0.7102,LGBMClassifier,Mean
0.0542,0.0387,0.0706,0.0765,0.0537,0.1084,0.107,LGBMClassifier,Std
0.8184,0.8737,0.8632,0.7974,0.8267,0.6368,0.643,RidgeClassifier,Mean
0.0594,0.0468,0.0674,0.0672,0.0526,0.1187,0.1167,RidgeClassifier,Std
0.8342,0.892,0.8421,0.8328,0.8353,0.6684,0.6722,ExtraTreesClassifier,Mean
0.0471,0.0534,0.0666,0.0594,0.0472,0.0943,0.0935,ExtraTreesClassifier,Std
