Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9571,0.9746,0.7895,0.75,0.7692,0.7456,0.7459,AdaBoostClassifier,0
0.9762,0.9427,0.8947,0.85,0.8718,0.8587,0.859,AdaBoostClassifier,1
0.9714,0.9815,0.8947,0.8095,0.85,0.8343,0.8355,AdaBoostClassifier,2
0.9809,0.9427,0.8421,0.9412,0.8889,0.8785,0.8801,AdaBoostClassifier,3
0.9665,0.987,0.7895,0.8333,0.8108,0.7925,0.7928,AdaBoostClassifier,4
0.9665,0.9878,0.6842,0.9286,0.7879,0.7701,0.7807,AdaBoostClassifier,5
0.9426,0.964,0.5789,0.7333,0.6471,0.6163,0.6214,AdaBoostClassifier,6
0.9809,0.9889,0.8421,0.9412,0.8889,0.8785,0.8801,AdaBoostClassifier,7
0.9665,0.9925,0.8421,0.8,0.8205,0.8021,0.8024,AdaBoostClassifier,8
0.9569,0.9787,0.6316,0.8571,0.7273,0.7045,0.7142,AdaBoostClassifier,9
0.9666,0.974,0.7789,0.8444,0.8062,0.7881,0.7912,AdaBoostClassifier,Mean
0.0113,0.0175,0.1047,0.0711,0.0731,0.0789,0.0771,AdaBoostClassifier,Std
