Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9714,0.9884,0.6842,1.0,0.8125,0.7976,0.8145,RandomForestClassifier,0
0.9571,0.9722,0.8947,0.7083,0.7907,0.7672,0.7737,RandomForestClassifier,1
0.9714,0.9647,0.8947,0.8095,0.85,0.8343,0.8355,RandomForestClassifier,2
0.9713,0.9884,0.7895,0.8824,0.8333,0.8177,0.8192,RandomForestClassifier,3
0.9665,0.9878,0.8421,0.8,0.8205,0.8021,0.8024,RandomForestClassifier,4
0.9617,0.9198,0.6842,0.8667,0.7647,0.7442,0.7503,RandomForestClassifier,5
0.9474,0.9418,0.5263,0.8333,0.6452,0.6183,0.6374,RandomForestClassifier,6
0.9617,0.9695,0.7368,0.8235,0.7778,0.7569,0.7583,RandomForestClassifier,7
0.9761,0.9964,0.7895,0.9375,0.8571,0.8442,0.8479,RandomForestClassifier,8
0.9522,0.9143,0.6316,0.8,0.7059,0.6802,0.6859,RandomForestClassifier,9
0.9637,0.9643,0.7474,0.8461,0.7858,0.7663,0.7725,RandomForestClassifier,Mean
0.0089,0.028,0.1124,0.0768,0.0633,0.0674,0.064,RandomForestClassifier,Std
