Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9959,0.9818,0.8947,0.8947,0.8947,0.8926,0.8926,RandomForestClassifier,0
0.9928,0.9769,0.7895,0.8333,0.8108,0.8071,0.8074,RandomForestClassifier,1
0.9938,0.9766,0.9474,0.7826,0.8571,0.854,0.8581,RandomForestClassifier,2
0.9897,0.9825,0.6316,0.8,0.7059,0.7007,0.7058,RandomForestClassifier,3
0.9949,0.9787,0.8421,0.8889,0.8649,0.8622,0.8626,RandomForestClassifier,4
0.9887,0.9787,0.6842,0.7222,0.7027,0.6969,0.6972,RandomForestClassifier,5
0.9876,0.9907,0.5789,0.7333,0.6471,0.6409,0.6455,RandomForestClassifier,6
0.9969,0.997,0.8947,0.9444,0.9189,0.9173,0.9177,RandomForestClassifier,7
0.9887,0.9925,0.7368,0.7,0.7179,0.7122,0.7124,RandomForestClassifier,8
0.9938,0.9885,0.7368,0.9333,0.8235,0.8204,0.8264,RandomForestClassifier,9
0.9923,0.9844,0.7737,0.8233,0.7944,0.7904,0.7926,RandomForestClassifier,Mean
0.0032,0.0069,0.1154,0.0849,0.0891,0.0907,0.0899,RandomForestClassifier,Std
