Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9929,0.98,0.8579,0.8046,0.827,0.8234,0.8256,LogisticRegression,Mean
0.0036,0.0146,0.0882,0.1015,0.0831,0.0849,0.0833,LogisticRegression,Std
0.9923,0.9844,0.7737,0.8233,0.7944,0.7904,0.7926,RandomForestClassifier,Mean
0.0032,0.0069,0.1154,0.0849,0.0891,0.0907,0.0899,RandomForestClassifier,Std
0.9933,0.9825,0.8053,0.8457,0.8219,0.8185,0.8203,GradientBoostingClassifier,Mean
0.0027,0.0159,0.1105,0.0657,0.0808,0.0822,0.0803,GradientBoostingClassifier,Std
0.994,0.9783,0.7947,0.8973,0.8348,0.8318,0.8375,LGBMClassifier,Mean
0.0029,0.0146,0.1299,0.0913,0.0899,0.0913,0.086,LGBMClassifier,Std
0.9893,0.9771,0.8895,0.6786,0.7667,0.7613,0.7703,RidgeClassifier,Mean
0.0027,0.0167,0.0549,0.0693,0.0466,0.0479,0.0443,RidgeClassifier,Std
0.9919,0.9841,0.8211,0.7792,0.7967,0.7926,0.7943,ExtraTreesClassifier,Mean
0.0032,0.0071,0.1084,0.0843,0.0847,0.0863,0.0862,ExtraTreesClassifier,Std
