Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.9714,0.9678,0.9211,0.7955,0.8537,0.8379,0.8406
0.9666,0.9525,0.8421,0.8,0.8205,0.8021,0.8024
0.9666,0.9548,0.8158,0.8158,0.8158,0.7974,0.7974
0.9689,0.9866,0.8684,0.8049,0.8354,0.8183,0.819
0.9833,0.9838,0.8947,0.9189,0.9067,0.8975,0.8976
0.9713,0.9691,0.8684,0.827,0.8464,0.8306,0.8314
0.0062,0.0142,0.0372,0.0465,0.0329,0.0363,0.0364
