Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.9651,0.9616,0.8158,0.9688,0.8857,0.8653,0.8697
0.9476,0.9717,0.7949,0.8857,0.8378,0.8067,0.8084
0.9561,0.9693,0.8684,0.8684,0.8684,0.8421,0.8421
0.9561,0.9727,0.8421,0.8889,0.8649,0.8387,0.8391
0.9386,0.9403,0.7895,0.8333,0.8108,0.7742,0.7746
0.9527,0.9631,0.8221,0.889,0.8535,0.8254,0.8268
0.009,0.012,0.0296,0.0445,0.0263,0.0317,0.0325
