canonical_SMILES,raw_SMILES,potency,source
N#C/C(C(=O)N1CCCCC1)=C(/N)c1cc(O)c(O)c([N+](=O)[O-])c1,N#C/C(C(=O)N1CCCCC1)=C(/N)c1cc(O)c(O)c([N+](=O)[O-])c1,1,active
CCOc1nc2ccccc2nc1C(=O)Nc1cccnc1,CCOc1nc2ccccc2nc1C(=O)Nc1cccnc1,1,active
O=C(O)c1c(CN2CCCOCC2)cccc1Nc1c(Cl)cc(-c2nnn[nH]2)cc1Cl,O=C(O)c1c(CN2CCCOCC2)cccc1Nc1c(Cl)cc(-c2nnn[nH]2)cc1Cl,1,active
c1cc2cc(CNCC3(N4CCCC4)COC3)ccc2[nH]1,c1cc2cc(CNCC3(N4CCCC4)COC3)ccc2[nH]1,1,active
Fc1ccc2c(CNCC3(N4CCCC4)COC3)c[nH]c2c1,Fc1ccc2c(CNCC3(N4CCCC4)COC3)c[nH]c2c1,1,active
N[C@H](CCCCCP(=O)(O)O)C(=O)O,N[C@H](CCCCCP(=O)(O)O)C(=O)O,1,active
COc1cccc2c(CNCC3(N4CCCC4)COC3)c[nH]c12,COc1cccc2c(CNCC3(N4CCCC4)COC3)c[nH]c12,1,active
Cc1noc(C)c1-c1cc(Cl)c(Nc2ccccc2C(=O)O)c(Cl)n1,Cc1noc(C)c1-c1cc(Cl)c(Nc2ccccc2C(=O)O)c(Cl)n1,1,active
Cc1cc(-c2c(C)noc2C)cc(Cl)c1Nc1ccccc1C(=O)O,Cc1cc(-c2c(C)noc2C)cc(Cl)c1Nc1ccccc1C(=O)O,1,active
Fc1ccc2[nH]cc(CNCC3(N4CCC(F)C4)COC3)c2c1,Fc1ccc2[nH]cc(CNCC3(N4CCC(F)C4)COC3)c2c1,1,active
O=C(O)c1ccccc1Nc1c(Cl)cc(-c2nnn[nH]2)cc1Cl,OC(=O)c1ccccc1Nc1c(Cl)cc(cc1Cl)-c1nnn[nH]1,1,active
Cc1cccc2cc(CNCC3(N4CCCC4)COC3)cnc12,Cc1cccc2cc(CNCC3(N4CCCC4)COC3)cnc12,1,active
Cc1cccc2cc(CNCC3(N4CCCC4)COC3)c(Cl)nc12,Cc1cccc2cc(CNCC3(COC3)N3CCCC3)c(Cl)nc12,1,active
