Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9466,0.9503,0.8216,0.8545,0.8338,0.8022,0.805,LogisticRegression,Mean
0.0253,0.0397,0.1208,0.0713,0.0848,0.0992,0.0976,LogisticRegression,Std
0.9405,0.9411,0.8426,0.819,0.8244,0.7889,0.7932,RandomForestClassifier,Mean
0.0234,0.0477,0.1055,0.093,0.0694,0.083,0.0827,RandomForestClassifier,Std
0.9483,0.9457,0.8376,0.8536,0.8432,0.8124,0.814,GradientBoostingClassifier,Mean
0.0223,0.0436,0.0896,0.0692,0.068,0.0812,0.0807,GradientBoostingClassifier,Std
0.9466,0.9512,0.8113,0.8678,0.8319,0.8005,0.8053,LGBMClassifier,Mean
0.0193,0.0361,0.116,0.068,0.0678,0.0782,0.074,LGBMClassifier,Std
0.7803,0.8251,0.7745,0.4222,0.5422,0.4155,0.4516,RidgeClassifier,Mean
0.0426,0.0524,0.1159,0.0655,0.0682,0.0893,0.0937,RidgeClassifier,Std
0.9492,0.9617,0.8061,0.8811,0.8379,0.8081,0.8118,ExtraTreesClassifier,Mean
0.021,0.0265,0.1133,0.0504,0.0728,0.0846,0.0817,ExtraTreesClassifier,Std
