Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.9714,0.9788,0.7368,0.9333,0.8235,0.8082,0.8149
0.9785,0.9778,0.8421,0.9143,0.8767,0.865,0.8658
0.9737,0.9637,0.8158,0.8857,0.8493,0.835,0.8358
0.9617,0.9491,0.7105,0.8438,0.7714,0.7507,0.754
0.9713,0.9602,0.7632,0.9062,0.8286,0.813,0.8166
0.9713,0.9659,0.7737,0.8967,0.8299,0.8144,0.8174
0.0055,0.0112,0.0488,0.0306,0.0347,0.0376,0.0366
