Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.9642,0.9807,0.7368,0.8485,0.7887,0.7693,0.7716
0.9642,0.9714,0.7632,0.8286,0.7945,0.7749,0.7757
0.9618,0.9572,0.6579,0.8929,0.7576,0.7374,0.7475
0.9641,0.9607,0.7105,0.871,0.7826,0.7633,0.768
0.9665,0.9785,0.6579,0.9615,0.7812,0.7638,0.78
0.9642,0.9697,0.7053,0.8805,0.7809,0.7617,0.7685
0.0015,0.0094,0.0421,0.0459,0.0126,0.0129,0.0113
