Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.9737,0.9725,0.8947,0.8293,0.8608,0.8463,0.847
0.969,0.9776,0.8158,0.8378,0.8267,0.8096,0.8097
0.9714,0.9516,0.8421,0.8421,0.8421,0.8264,0.8264
0.9737,0.9918,0.8421,0.8649,0.8533,0.8389,0.839
0.9737,0.969,0.8158,0.8857,0.8493,0.8349,0.8358
0.9723,0.9725,0.8421,0.852,0.8464,0.8312,0.8316
0.0019,0.013,0.0288,0.0206,0.0116,0.0126,0.0128
