,total,validation
1,0.35055094957351685,0.35690954327583313
2,0.3707998991012573,0.3786519169807434
3,0.36949655413627625,0.3787839114665985
4,0.3604678213596344,0.37115660309791565
5,0.3466372787952423,0.3587297797203064
6,0.3358690142631531,0.34905892610549927
7,0.3248312175273895,0.3390811085700989
8,0.3155997693538666,0.33069977164268494
9,0.306803822517395,0.3228170573711395
10,0.2974933087825775,0.31457412242889404
11,0.2891960144042969,0.3072465658187866
12,0.2841699719429016,0.30305054783821106
13,0.27685603499412537,0.2966696321964264
14,0.27176958322525024,0.29236260056495667
15,0.26579469442367554,0.2873166799545288
16,0.2598811686038971,0.28227993845939636
17,0.2562015950679779,0.27944275736808777
18,0.2515977919101715,0.2756865620613098
19,0.24580803513526917,0.27110037207603455
20,0.2423064261674881,0.2683563530445099
21,0.23877277970314026,0.26589149236679077
22,0.23237696290016174,0.26093214750289917
23,0.2300698310136795,0.25948119163513184
24,0.22828437387943268,0.2582385838031769
25,0.22219908237457275,0.25337445735931396
26,0.2214134782552719,0.25327178835868835
27,0.21563848853111267,0.24901023507118225
28,0.21200858056545258,0.24684640765190125
29,0.21006083488464355,0.24530595541000366
30,0.20492133498191833,0.241689532995224
31,0.2031990885734558,0.24080286920070648
32,0.199758380651474,0.23852144181728363
33,0.1973610669374466,0.23712103068828583
34,0.19311150908470154,0.23415064811706543
35,0.18968328833580017,0.23249655961990356
36,0.18863868713378906,0.23208539187908173
37,0.18628792464733124,0.2309771329164505
38,0.17880140244960785,0.22573234140872955
39,0.18022054433822632,0.22747822105884552
40,0.17765682935714722,0.2259758859872818
41,0.17515341937541962,0.22473746538162231
42,0.1709374487400055,0.2220901995897293
43,0.17018868029117584,0.2218046635389328
44,0.16984142363071442,0.2224206179380417
45,0.16601981222629547,0.21997658908367157
46,0.16375194489955902,0.2189483791589737
47,0.1630777269601822,0.2191339135169983
48,0.16069647669792175,0.21819427609443665
49,0.15562105178833008,0.21498622000217438
50,0.15584684908390045,0.21575692296028137
51,0.15418174862861633,0.21532143652439117
52,0.1520242840051651,0.21457743644714355
53,0.1517523229122162,0.21493126451969147
54,0.1441415697336197,0.21025344729423523
55,0.14344573020935059,0.2100621908903122
56,0.14295955002307892,0.21053530275821686
57,0.14146199822425842,0.2102229744195938
58,0.14090250432491302,0.21041826903820038
59,0.13813388347625732,0.20925694704055786
60,0.13624699413776398,0.20857517421245575
61,0.132841095328331,0.20669801533222198
62,0.1314176470041275,0.20640404522418976
63,0.13196375966072083,0.20744362473487854
64,0.13029353320598602,0.20701400935649872
65,0.1292230635881424,0.2064034640789032
66,0.12734197080135345,0.20537865161895752
67,0.12529577314853668,0.2052568644285202
68,0.12617404758930206,0.20697206258773804
69,0.12155766785144806,0.20440874993801117
70,0.12405069172382355,0.20691892504692078
71,0.12037678062915802,0.2047550529241562
72,0.11980929970741272,0.20484401285648346
73,0.11657053232192993,0.20316332578659058
74,0.1171036809682846,0.20440848171710968
75,0.11586637049913406,0.20438075065612793
76,0.11365745216608047,0.20319946110248566
77,0.11301764845848083,0.2036331593990326
78,0.11140816658735275,0.20380899310112
79,0.10971043258905411,0.2027764618396759
80,0.11174221336841583,0.20449036359786987
81,0.10843677073717117,0.20301884412765503
82,0.10430572181940079,0.2012709081172943
83,0.10588976740837097,0.20307035744190216
84,0.10299549251794815,0.20128333568572998
85,0.10383227467536926,0.20199701189994812
86,0.1016772910952568,0.20178236067295074
87,0.1020762100815773,0.20268312096595764
88,0.10141508281230927,0.2024322897195816
89,0.09723013639450073,0.20070743560791016
90,0.09678657352924347,0.2007354497909546
91,0.0960250049829483,0.20111083984375
92,0.09674064815044403,0.2021762579679489
93,0.09552424401044846,0.2021474391222
94,0.0951964482665062,0.20236167311668396
95,0.0929260179400444,0.20195896923542023
96,0.09341275691986084,0.20245099067687988
97,0.09047339111566544,0.2010270059108734
98,0.08923594653606415,0.2005363255739212
99,0.09082215279340744,0.2020333856344223
100,0.08860481530427933,0.2011914700269699
101,0.08915097266435623,0.2023853361606598
102,0.08601704984903336,0.2007777988910675
103,0.08553335070610046,0.20126166939735413
104,0.08608444780111313,0.20206841826438904
105,0.08599314838647842,0.20225085318088531
106,0.0847833901643753,0.20230412483215332
107,0.08596865087747574,0.20374786853790283
108,0.08308733254671097,0.20193637907505035
109,0.08256020396947861,0.20210552215576172
110,0.08123084902763367,0.20181147754192352
111,0.08208850771188736,0.2021816372871399
112,0.07999728620052338,0.20244447886943817
113,0.08029763400554657,0.20304244756698608
114,0.07843876630067825,0.20147496461868286
