Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9238,0.961,0.8384,0.8586,0.8467,0.7962,0.7976,LogisticRegression,Mean
0.0253,0.0216,0.065,0.0588,0.0505,0.0671,0.0665,LogisticRegression,Std
0.9133,0.9614,0.7703,0.8694,0.8145,0.7586,0.7625,RandomForestClassifier,Mean
0.0294,0.0248,0.0952,0.0506,0.0695,0.0872,0.0839,RandomForestClassifier,Std
0.9291,0.9686,0.7961,0.9106,0.8474,0.8018,0.8063,GradientBoostingClassifier,Mean
0.0305,0.0248,0.0918,0.0587,0.0711,0.0897,0.0867,GradientBoostingClassifier,Std
0.9304,0.9591,0.8068,0.9047,0.8519,0.8068,0.8098,LGBMClassifier,Mean
0.0293,0.0277,0.0829,0.0519,0.066,0.0844,0.0827,LGBMClassifier,Std
0.8081,0.8731,0.7961,0.5954,0.677,0.5459,0.5614,RidgeClassifier,Mean
0.0361,0.0399,0.0714,0.068,0.0453,0.0684,0.0636,RidgeClassifier,Std
0.9107,0.9349,0.7908,0.8465,0.8157,0.757,0.7593,ExtraTreesClassifier,Mean
0.0341,0.0393,0.0841,0.0792,0.0721,0.0941,0.0938,ExtraTreesClassifier,Std
