Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9405,0.9727,0.7903,0.8466,0.8135,0.7784,0.7815,AdaBoostClassifier,Mean
0.0155,0.0169,0.0946,0.0499,0.056,0.0645,0.0621,AdaBoostClassifier,Std
0.8205,0.8866,0.8011,0.4795,0.5981,0.4921,0.5207,RidgeClassifier,Mean
0.0185,0.0335,0.0841,0.0346,0.0396,0.0481,0.0528,RidgeClassifier,Std
0.951,0.9758,0.8326,0.874,0.8483,0.8193,0.8226,LogisticRegression,Mean
0.0137,0.0187,0.0931,0.0547,0.0476,0.0552,0.0541,LogisticRegression,Std
0.9518,0.9647,0.8426,0.8699,0.8527,0.8241,0.8265,ExtraTreesClassifier,Mean
0.0132,0.0153,0.0784,0.0496,0.0436,0.0509,0.0486,ExtraTreesClassifier,Std
0.9448,0.9663,0.79,0.8747,0.8266,0.7941,0.7979,RandomForestClassifier,Mean
0.0225,0.0157,0.0855,0.0907,0.0712,0.0841,0.0833,RandomForestClassifier,Std
0.9544,0.9812,0.8216,0.8996,0.8569,0.8299,0.8324,LGBMClassifier,Mean
0.0129,0.0091,0.0638,0.0516,0.0432,0.0506,0.0499,LGBMClassifier,Std
0.9545,0.9737,0.8168,0.9055,0.8559,0.829,0.8326,GradientBoostingClassifier,Mean
0.017,0.021,0.0821,0.0698,0.0588,0.0684,0.0676,GradientBoostingClassifier,Std
