Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9925,0.9938,0.8947,0.9444,0.9189,0.915,0.9154,AdaBoostClassifier,0
0.985,0.9985,0.8421,0.8421,0.8421,0.8342,0.8342,AdaBoostClassifier,1
0.975,0.9837,0.7368,0.7368,0.7368,0.7237,0.7237,AdaBoostClassifier,2
0.975,0.9891,0.7895,0.7143,0.75,0.7369,0.7379,AdaBoostClassifier,3
0.9725,0.9862,0.8421,0.6667,0.7442,0.7299,0.7354,AdaBoostClassifier,4
0.9775,0.9373,0.6842,0.8125,0.7429,0.7312,0.7341,AdaBoostClassifier,5
0.9774,0.9945,0.8947,0.7083,0.7907,0.7789,0.7849,AdaBoostClassifier,6
0.9724,0.9756,0.6316,0.75,0.6857,0.6714,0.6741,AdaBoostClassifier,7
0.9774,0.9381,0.7368,0.7778,0.7568,0.7449,0.7452,AdaBoostClassifier,8
0.9825,0.9569,0.6842,0.9286,0.7879,0.7789,0.7888,AdaBoostClassifier,9
0.9787,0.9754,0.7737,0.7882,0.7756,0.7645,0.7674,AdaBoostClassifier,Mean
0.0059,0.0219,0.0882,0.0886,0.0616,0.0646,0.0642,AdaBoostClassifier,Std
