Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9787,0.9754,0.7737,0.7882,0.7756,0.7645,0.7674,AdaBoostClassifier,Mean
0.0059,0.0219,0.0882,0.0886,0.0616,0.0646,0.0642,AdaBoostClassifier,Std
0.9777,0.9567,0.8632,0.7366,0.7899,0.7784,0.7838,RidgeClassifier,Mean
0.009,0.0291,0.0752,0.1088,0.0741,0.0786,0.0766,RidgeClassifier,Std
0.9832,0.9718,0.8158,0.8366,0.8222,0.8135,0.8156,LogisticRegression,Mean
0.0059,0.0232,0.0824,0.0798,0.0601,0.0631,0.0625,LogisticRegression,Std
0.9817,0.974,0.7737,0.8373,0.8001,0.7906,0.7935,ExtraTreesClassifier,Mean
0.0049,0.0145,0.085,0.0727,0.0538,0.0563,0.0561,ExtraTreesClassifier,Std
0.9792,0.9637,0.7632,0.799,0.776,0.7652,0.7679,RandomForestClassifier,Mean
0.006,0.03,0.0978,0.073,0.0651,0.0681,0.0669,RandomForestClassifier,Std
0.9847,0.9792,0.7842,0.8929,0.8296,0.8217,0.8265,LGBMClassifier,Mean
0.006,0.0188,0.0895,0.093,0.0663,0.0693,0.0674,LGBMClassifier,Std
0.9832,0.9733,0.7684,0.87,0.8105,0.8019,0.8065,GradientBoostingClassifier,Mean
0.0054,0.0244,0.1058,0.0665,0.0668,0.0694,0.0657,GradientBoostingClassifier,Std
