Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9875,0.9514,0.8947,0.85,0.8718,0.8652,0.8655,RandomForestClassifier,0
0.985,0.9927,0.8421,0.8421,0.8421,0.8342,0.8342,RandomForestClassifier,1
0.975,0.9827,0.6316,0.8,0.7059,0.693,0.6983,RandomForestClassifier,2
0.985,0.9452,0.8421,0.8421,0.8421,0.8342,0.8342,RandomForestClassifier,3
0.98,0.9852,0.8947,0.7391,0.8095,0.7991,0.8031,RandomForestClassifier,4
0.98,0.9515,0.7368,0.8235,0.7778,0.7673,0.7686,RandomForestClassifier,5
0.9649,0.9884,0.6842,0.619,0.65,0.6316,0.6325,RandomForestClassifier,6
0.9774,0.8886,0.6316,0.8571,0.7273,0.7158,0.7249,RandomForestClassifier,7
0.9774,0.9834,0.7895,0.75,0.7692,0.7574,0.7577,RandomForestClassifier,8
0.9799,0.9685,0.6842,0.8667,0.7647,0.7544,0.7601,RandomForestClassifier,9
0.9792,0.9637,0.7632,0.799,0.776,0.7652,0.7679,RandomForestClassifier,Mean
0.006,0.03,0.0978,0.073,0.0651,0.0681,0.0669,RandomForestClassifier,Std
