Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.9862,0.9898,0.9211,0.814,0.8642,0.857,0.8588
0.9762,0.9737,0.7632,0.7436,0.7532,0.7408,0.7408
0.9825,0.9774,0.8158,0.8158,0.8158,0.8066,0.8066
0.9812,0.9636,0.8158,0.7949,0.8052,0.7953,0.7954
0.98,0.9661,0.7105,0.8438,0.7714,0.761,0.7641
0.9812,0.9741,0.8053,0.8024,0.802,0.7921,0.7931
0.0033,0.0093,0.0698,0.0333,0.0384,0.0401,0.0402
