Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.9938,0.9934,0.9211,0.9459,0.9333,0.9301,0.9301
0.985,0.9873,0.8421,0.8421,0.8421,0.8342,0.8342
0.9787,0.9406,0.7368,0.8,0.7671,0.756,0.7567
0.9825,0.9743,0.8684,0.7857,0.825,0.8158,0.8169
0.9775,0.9557,0.7368,0.7778,0.7568,0.745,0.7453
0.9835,0.9703,0.8211,0.8303,0.8249,0.8162,0.8167
0.0058,0.0197,0.0733,0.0619,0.0633,0.0663,0.0662
