Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.969,0.968,0.8421,0.8205,0.8312,0.8141,0.8142
0.9714,0.9852,0.8421,0.8421,0.8421,0.8264,0.8264
0.9737,0.9588,0.7895,0.9091,0.8451,0.8308,0.8333
0.9689,0.9814,0.7895,0.8571,0.8219,0.8049,0.8057
0.9761,0.9827,0.7368,1.0,0.8485,0.8358,0.8473
0.9718,0.9752,0.8,0.8858,0.8377,0.8224,0.8254
0.0028,0.0102,0.0394,0.0642,0.0098,0.0113,0.0145
