Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.9714,0.9811,0.8158,0.8611,0.8378,0.8221,0.8225
0.9714,0.9811,0.8158,0.8611,0.8378,0.8221,0.8225
0.9714,0.9546,0.7632,0.9062,0.8286,0.8131,0.8166
0.9689,0.9553,0.7632,0.8788,0.8169,0.8,0.8024
0.9713,0.9632,0.7632,0.9062,0.8286,0.813,0.8166
0.9709,0.9671,0.7842,0.8827,0.8299,0.8141,0.8161
0.001,0.0119,0.0258,0.0203,0.0077,0.0081,0.0074
