Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.957,0.9618,0.7632,0.7632,0.7632,0.7395,0.7395
0.9642,0.9735,0.8158,0.7949,0.8052,0.7855,0.7856
0.9737,0.9513,0.8158,0.8857,0.8493,0.835,0.8358
0.9522,0.9533,0.7105,0.75,0.7297,0.7035,0.7038
0.9689,0.9752,0.8158,0.8378,0.8267,0.8096,0.8097
0.9632,0.963,0.7842,0.8063,0.7948,0.7746,0.7749
0.0078,0.0099,0.0421,0.0499,0.0432,0.0475,0.0476
