Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.9666,0.9849,0.7895,0.8333,0.8108,0.7925,0.7928
0.9666,0.9792,0.7632,0.8529,0.8056,0.7873,0.7888
0.9642,0.9564,0.6842,0.8966,0.7761,0.757,0.7652
0.9593,0.9485,0.6579,0.8621,0.7463,0.7246,0.7324
0.9641,0.9839,0.6842,0.8966,0.7761,0.757,0.7652
0.9642,0.9706,0.7158,0.8683,0.783,0.7637,0.7689
0.0027,0.0151,0.051,0.0249,0.0233,0.0245,0.0216
