Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.9659,0.9757,0.8438,0.9474,0.8926,0.8724,0.8744
0.9501,0.9543,0.7812,0.9091,0.8403,0.811,0.8143
0.9368,0.9543,0.7778,0.8305,0.8033,0.7657,0.7663
0.951,0.9614,0.8009,0.8957,0.8454,0.8164,0.8183
0.0119,0.0101,0.0303,0.0486,0.0366,0.0437,0.0442
