Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.9607,0.9645,0.8684,0.8919,0.88,0.8565,0.8566
0.9563,0.97,0.8205,0.9143,0.8649,0.8389,0.8407
0.9474,0.9536,0.8158,0.8611,0.8378,0.8065,0.8069
0.943,0.9453,0.7632,0.8788,0.8169,0.7833,0.7861
0.9474,0.9298,0.8421,0.8421,0.8421,0.8105,0.8105
0.9509,0.9526,0.822,0.8776,0.8483,0.8191,0.8201
0.0065,0.0143,0.0348,0.0248,0.022,0.0257,0.0252
