Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9524,0.9645,0.6842,0.7647,0.7222,0.6963,0.6976,RandomForestClassifier,0
0.9619,0.9647,0.7895,0.7895,0.7895,0.7685,0.7685,RandomForestClassifier,1
0.9619,0.9804,0.8421,0.7619,0.8,0.779,0.7802,RandomForestClassifier,2
0.9617,0.9637,0.7368,0.8235,0.7778,0.7569,0.7583,RandomForestClassifier,3
0.9809,0.9895,0.9474,0.8571,0.9,0.8894,0.8908,RandomForestClassifier,4
0.9761,0.9931,0.8947,0.85,0.8718,0.8586,0.859,RandomForestClassifier,5
0.9856,0.9823,0.8421,1.0,0.9143,0.9065,0.9105,RandomForestClassifier,6
0.9522,0.9709,0.8421,0.6957,0.7619,0.7356,0.7397,RandomForestClassifier,7
0.9713,0.9861,0.8421,0.8421,0.8421,0.8263,0.8263,RandomForestClassifier,8
0.9522,0.956,0.6316,0.8,0.7059,0.6802,0.6859,RandomForestClassifier,9
0.9656,0.9751,0.8053,0.8185,0.8085,0.7897,0.7917,RandomForestClassifier,Mean
0.0116,0.0121,0.0913,0.0764,0.068,0.0741,0.0736,RandomForestClassifier,Std
