Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9689,0.9778,0.8316,0.8323,0.8297,0.8127,0.814,LogisticRegression,Mean
0.0083,0.0198,0.0567,0.0625,0.0421,0.0466,0.0462,LogisticRegression,Std
0.9656,0.9751,0.8053,0.8185,0.8085,0.7897,0.7917,RandomForestClassifier,Mean
0.0116,0.0121,0.0913,0.0764,0.068,0.0741,0.0736,RandomForestClassifier,Std
0.9694,0.9734,0.7842,0.8713,0.8205,0.804,0.8081,GradientBoostingClassifier,Mean
0.0115,0.0163,0.109,0.0753,0.0746,0.0805,0.0781,GradientBoostingClassifier,Std
0.9718,0.9792,0.7895,0.889,0.8319,0.8168,0.821,LGBMClassifier,Mean
0.0112,0.0152,0.1153,0.0597,0.0761,0.0819,0.0792,LGBMClassifier,Std
0.9317,0.9559,0.8474,0.5873,0.6915,0.6546,0.67,RidgeClassifier,Mean
0.0096,0.0248,0.0895,0.0383,0.0446,0.0493,0.0529,RidgeClassifier,Std
0.967,0.9785,0.7947,0.8392,0.8122,0.7943,0.797,ExtraTreesClassifier,Mean
0.0101,0.0108,0.0955,0.0688,0.0631,0.0683,0.0669,ExtraTreesClassifier,Std
